plant,hz,nominal_ratio,one_way_delay_ms,schedule,max_motor_error_rad,max_load_error_rad,motor_rms_rad,load_rms_rad,tail_load_rms_rad,tail_load_velocity_rms_rad_s,peak_current_a,peak_twist_rad,amplitude_limited_pct,slew_limited_pct,compensation_limited_pct,result
flexible,100,0.25,5,0,0.475894,0.538489,0.193410,0.221379,0.100267,0.178691,1.236725,0.069252,0.000,0.000,62.333,poor
flexible,100,0.25,10,0,0.489364,0.555215,0.199383,0.228253,0.108686,0.195598,1.277047,0.071180,0.000,0.000,64.417,poor
flexible,100,0.25,20,0,2.554169,2.590010,1.068677,1.137431,2.169891,2.525464,3.637193,0.365817,0.000,70.250,91.500,poor
flexible,100,0.50,0,0,0.137163,0.199075,0.065985,0.095327,0.003026,0.006794,0.562897,0.064425,0.000,0.000,0.000,within_report_threshold
flexible,100,0.50,5,0,1.253145,0.970925,0.298036,0.294883,0.789985,1.365609,1.080265,0.599133,0.667,35.083,37.000,poor
flexible,100,0.50,10,0,7.165856,7.647347,2.452459,2.619306,6.734912,6.476154,5.267563,0.737729,21.917,84.250,86.583,poor
flexible,100,0.50,20,0,12.631855,13.075421,2.953423,3.081269,8.133560,12.895996,4.697515,0.741195,26.333,90.917,91.750,poor
flexible,100,1.00,0,0,5.717165,6.460090,2.113849,2.239536,3.810247,12.974822,2.987350,1.428354,40.583,83.250,82.000,poor
flexible,100,1.00,5,0,15.881585,16.859591,5.409615,5.781757,14.988516,13.544649,5.610203,1.453907,50.750,93.083,92.583,poor
flexible,100,1.00,10,0,23.586126,24.292116,5.848202,6.110850,14.420109,26.374914,4.868376,1.491891,54.333,95.333,95.000,poor
flexible,100,1.00,20,0,39.403805,39.215336,10.457304,10.809132,18.929002,56.028381,6.909326,1.659405,58.500,96.083,95.417,poor
flexible,100,2.00,0,0,10.445219,11.358810,3.473454,3.609099,8.285260,14.194506,2.821499,2.787844,69.583,95.750,95.417,poor
flexible,100,2.00,5,0,19.774443,21.319473,5.841172,6.214690,17.278682,19.659422,4.940921,2.903074,71.917,96.500,96.417,poor
flexible,100,2.00,10,0,41.313568,43.805889,10.439010,10.861230,32.619074,35.451407,4.525389,2.854846,73.417,97.250,96.917,poor
flexible,100,2.00,20,0,72.276642,73.740494,15.805860,16.140210,52.130922,55.149736,4.872433,2.916653,74.917,97.583,96.417,poor
flexible,100,4.00,0,0,18.546925,17.275337,5.643828,5.720292,13.422088,22.139503,2.485986,5.359614,83.083,97.500,96.917,poor
flexible,100,4.00,5,0,63.758503,67.627312,17.273762,18.093131,56.025776,49.628731,4.901045,5.340505,83.917,98.417,97.750,poor
flexible,100,4.00,10,0,6.452662,4.189663,2.413247,1.300382,2.193097,10.900732,0.785460,4.480497,84.750,98.417,97.500,poor
flexible,100,4.00,20,0,109.434753,113.783562,37.212709,38.892954,93.969792,102.619496,7.015408,6.357529,85.500,98.250,97.750,poor
flexible,200,0.25,0,0,0.463526,0.523625,0.188207,0.215072,0.092577,0.164434,1.195577,0.067587,0.000,0.000,58.167,within_report_threshold
flexible,200,0.25,5,0,0.476650,0.538950,0.193749,0.221479,0.100638,0.179242,1.228310,0.068734,0.000,0.000,61.417,poor
flexible,200,0.25,10,0,0.490207,0.555481,0.199699,0.228313,0.109144,0.195705,1.265329,0.070655,0.000,0.000,63.292,poor
flexible,200,0.25,20,0,2.273275,2.262811,1.012739,1.076543,1.839022,2.469421,3.386083,0.363957,0.000,69.667,91.333,poor
flexible,200,0.50,0,0,0.139411,0.201491,0.066868,0.096126,0.002993,0.007529,0.565527,0.064263,0.000,0.000,0.000,within_report_threshold
flexible,200,0.50,5,0,1.164773,0.898544,0.285755,0.279472,0.715155,1.311370,0.989085,0.586477,0.667,34.750,37.667,poor
flexible,200,0.50,10,0,5.354924,5.880575,2.040345,2.193676,4.933416,6.114126,4.202259,0.739368,20.208,83.958,86.708,poor
flexible,200,0.50,20,0,13.422728,13.801838,2.919173,3.026725,7.981471,14.585382,4.886611,0.746626,25.000,90.875,91.458,poor
flexible,200,1.00,0,0,6.353766,6.716769,2.282052,2.429871,4.221513,13.165330,3.287537,1.461223,40.583,83.000,81.875,poor
flexible,200,1.00,5,0,12.872490,13.606532,3.892823,4.146360,11.814202,10.637923,5.050131,1.485096,50.583,93.292,93.375,poor
flexible,200,1.00,10,0,22.254799,22.988234,5.554274,5.814173,13.501994,25.464669,4.798801,1.478358,54.333,95.250,95.250,poor
flexible,200,1.00,20,0,42.549458,42.368690,10.665177,10.993798,20.613874,57.254326,6.906727,1.689039,58.417,96.167,95.750,poor
flexible,200,2.00,0,0,11.958009,12.760763,3.763543,3.932741,8.869356,16.212931,3.051352,2.827932,69.708,95.792,95.417,poor
flexible,200,2.00,5,0,13.417886,14.044983,4.287922,4.577696,11.708760,17.385400,4.113729,2.940247,72.542,97.042,96.458,poor
flexible,200,2.00,10,0,75.878906,77.215981,15.972156,16.362774,46.057278,75.308126,5.510389,2.956575,76.167,97.250,97.000,poor
flexible,200,2.00,20,0,4.048703,2.966686,1.279627,0.882721,1.796849,6.572098,1.016978,2.268075,72.333,97.708,96.792,poor
flexible,200,4.00,0,0,20.633106,21.173973,6.787028,7.156007,15.559533,31.045478,3.508587,5.303692,83.625,97.583,96.875,poor
flexible,200,4.00,5,0,18.925154,21.678280,7.360678,7.923311,17.231122,30.431596,3.471256,5.352029,82.250,98.333,97.833,poor
flexible,200,4.00,10,0,21.041569,22.564964,6.358694,6.549067,12.219676,38.536987,2.541814,5.330821,83.583,98.375,97.458,poor
flexible,200,4.00,20,0,122.475319,126.434319,40.685874,42.266321,85.696792,148.701751,7.194383,6.928566,85.958,98.208,97.833,poor
varying_inertia,100,0.25,0,0,0.498852,0.498852,0.168097,0.168097,0.031495,0.040647,1.132738,0.000000,0.000,0.000,38.250,within_report_threshold
varying_inertia,100,0.25,5,0,0.511432,0.511432,0.171545,0.171545,0.033047,0.043670,1.159559,0.000000,0.000,0.000,38.833,within_report_threshold
varying_inertia,100,0.25,10,0,0.524544,0.524544,0.175248,0.175248,0.034391,0.048207,1.187048,0.000000,0.000,0.000,39.333,within_report_threshold
varying_inertia,100,0.25,20,0,0.552348,0.552348,0.183482,0.183482,0.036196,0.061237,1.247084,0.000000,0.000,0.000,40.167,within_report_threshold
varying_inertia,100,0.50,0,0,0.191470,0.191470,0.065989,0.065989,0.000122,0.000260,0.695629,0.000000,0.000,0.000,2.167,within_report_threshold
varying_inertia,100,0.50,5,0,0.196856,0.196856,0.068459,0.068459,0.000101,0.000280,0.719717,0.000000,0.000,0.000,5.250,within_report_threshold
varying_inertia,100,0.50,10,0,0.202990,0.202990,0.071691,0.071691,0.000079,0.000188,0.742838,0.000000,0.000,0.000,7.667,within_report_threshold
varying_inertia,100,0.50,20,0,0.231408,0.231408,0.080707,0.080707,0.000042,0.000205,0.819094,0.000000,0.000,0.000,14.667,within_report_threshold
varying_inertia,100,1.00,0,0,0.035117,0.035117,0.013775,0.013775,0.001020,0.001333,0.279391,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,1.00,5,0,0.035099,0.035099,0.014023,0.014023,0.001006,0.001299,0.286647,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,1.00,10,0,0.040998,0.040998,0.015126,0.015126,0.001026,0.001369,0.296423,0.000000,0.000,0.000,0.000,within_report_threshold
